first_name,last_name,birth_date,discharge_date,org_id,org_name
JAMES,SMITH,1975-03-15,2005-06-30,4070,Army
MICHAEL,JOHNSON,1980-07-22,2010-12-15,4071,Navy
ROBERT,WILLIAMS,1982-11-08,2012-03-20,4072,Air Force
DAVID,BROWN,1978-04-12,2008-09-10,4073,Marines
WILLIAM,JONES,1985-01-25,2015-04-18,4070,Army
RICHARD,GARCIA,1972-09-30,2002-11-22,4071,Navy
JOSEPH,MILLER,1988-06-14,2018-08-05,4072,Air Force
THOMAS,DAVIS,1976-12-03,2006-07-28,4073,Marines
CHARLES,RODRIGUEZ,1983-08-19,2013-10-12,4070,Army
CHRISTOPHER,MARTINEZ,1979-02-28,2009-05-15,4071,Navy
DANIEL,HERNANDEZ,1986-05-07,2016-02-20,4072,Air Force
MATTHEW,LOPEZ,1974-10-16,2004-08-30,4073,Marines
ANTHONY,GONZALEZ,1981-03-22,2011-11-08,4070,Army
MARK,WILSON,1977-07-09,2007-04-25,4071,Navy
DONALD,ANDERSON,1984-12-31,2014-06-17,4072,Air Force
STEVEN,THOMAS,1973-06-18,2003-12-05,4073,Marines
PAUL,TAYLOR,1987-09-25,2017-03-14,4070,Army
ANDREW,MOORE,1975-01-12,2005-10-28,4071,Navy
JOSHUA,JACKSON,1982-04-28,2012-07-22,4072,Air Force
KENNETH,MARTIN,1978-08-05,2008-02-18,4073,Marines
KEVIN,LEE,1985-11-17,2015-09-30,4070,Army
BRIAN,PEREZ,1971-03-08,2001-05-12,4071,Navy
GEORGE,THOMPSON,1989-06-23,2019-01-08,4072,Air Force
TIMOTHY,WHITE,1976-09-14,2006-11-25,4073,Marines
RONALD,HARRIS,1983-02-01,2013-04-17,4070,Army
EDWARD,SANCHEZ,1979-05-28,2009-08-10,4071,Navy
JASON,CLARK,1986-10-09,2016-06-28,4072,Air Force
JEFFREY,RAMIREZ,1974-01-20,2004-03-15,4073,Marines
RYAN,LEWIS,1981-07-15,2011-12-20,4070,Army
JACOB,ROBINSON,1977-12-28,2007-09-05,4071,Navy
GARY,WALKER,1984-04-03,2014-01-18,4072,Air Force
NICHOLAS,YOUNG,1972-08-25,2002-06-30,4073,Marines
ERIC,ALLEN,1988-11-11,2018-10-22,4070,Army
JONATHAN,KING,1975-06-06,2005-03-08,4071,Navy
STEPHEN,WRIGHT,1982-09-19,2012-05-12,4072,Air Force
LARRY,SCOTT,1978-02-14,2008-11-28,4073,Marines
JUSTIN,TORRES,1985-05-30,2015-07-15,4070,Army
SCOTT,NGUYEN,1970-10-08,2000-04-22,4071,Navy
BRANDON,HILL,1990-01-15,2020-02-28,4072,Air Force
BENJAMIN,FLORES,1976-04-22,2006-08-10,4073,Marines
SAMUEL,GREEN,1983-07-07,2013-06-05,4070,Army
GREGORY,ADAMS,1979-10-30,2009-12-18,4071,Navy
ALEXANDER,NELSON,1986-03-18,2016-04-30,4072,Air Force
FRANK,BAKER,1973-09-05,2003-10-15,4073,Marines
PATRICK,HALL,1980-12-12,2010-08-25,4070,Army
RAYMOND,RIVERA,1977-05-25,2007-02-08,4071,Navy
JACK,CAMPBELL,1984-08-08,2014-11-12,4072,Air Force
DENNIS,MITCHELL,1971-02-18,2001-07-30,4073,Marines
JERRY,CARTER,1989-04-14,2019-05-20,4070,Army
TYLER,ROBERTS,1974-11-28,2004-09-12,4071,Navy
AARON,GOMEZ,1981-01-05,2011-03-28,4072,Air Force
JOSE,PHILLIPS,1978-06-20,2008-06-15,4073,Marines
ADAM,EVANS,1985-09-12,2015-12-05,4070,Army
NATHAN,TURNER,1972-03-28,2002-02-22,4071,Navy
HENRY,DIAZ,1987-07-02,2017-07-18,4072,Air Force
DOUGLAS,PARKER,1975-10-18,2005-11-30,4073,Marines
ZACHARY,CRUZ,1982-01-25,2012-09-08,4070,Army
PETER,EDWARDS,1979-04-08,2009-01-25,4071,Navy
KYLE,COLLINS,1986-08-15,2016-10-10,4072,Air Force
NOAH,REYES,1973-12-22,2003-04-28,4073,Marines
ETHAN,STEWART,1980-05-05,2010-02-15,4070,Army
JEREMY,MORRIS,1977-08-28,2007-06-20,4071,Navy
WALTER,MORALES,1984-11-10,2014-08-08,4072,Air Force
CHRISTIAN,MURPHY,1970-04-15,2000-12-30,4073,Marines
KEITH,COOK,1991-02-22,2021-06-18,4070,Army
ROGER,ROGERS,1974-07-08,2004-01-22,4071,Navy
TERRY,GUTIERREZ,1981-10-15,2011-07-05,4072,Air Force
HAROLD,ORTIZ,1978-01-28,2008-04-18,4073,Marines
SEAN,MORGAN,1985-04-18,2015-02-28,4070,Army
AUSTIN,COOPER,1971-09-02,2001-09-10,4071,Navy
CARL,PETERSON,1989-12-10,2019-11-22,4072,Air Force
ARTHUR,BAILEY,1975-03-25,2005-08-15,4073,Marines
LAWRENCE,REED,1982-06-12,2012-01-05,4070,Army
DYLAN,KELLY,1979-09-28,2009-10-20,4071,Navy
JESSE,HOWARD,1986-02-05,2016-12-12,4072,Air Force
JORDAN,RAMOS,1973-05-18,2003-06-28,4073,Marines
BRYAN,KIM,1980-08-22,2010-04-05,4070,Army
BILLY,COX,1977-11-05,2007-11-18,4071,Navy
BRUCE,WARD,1984-02-18,2014-03-22,4072,Air Force
ALBERT,RICHARDSON,1969-07-30,1999-10-08,4073,Marines
WILLIE,WATSON,1992-04-08,2022-05-15,4070,Army
GABRIEL,BROOKS,1974-10-22,2004-07-28,4071,Navy
LOGAN,CHAVEZ,1981-01-10,2011-09-12,4072,Air Force
ALAN,WOOD,1978-04-25,2008-08-05,4073,Marines
JUAN,JAMES,1985-07-15,2015-06-18,4070,Army
WAYNE,BENNETT,1971-12-28,2001-11-25,4071,Navy
ELIJAH,GRAY,1988-03-08,2018-03-30,4072,Air Force
RANDY,MENDEZ,1975-06-18,2005-05-12,4073,Marines
ROY,RUIZ,1982-09-05,2012-10-28,4070,Army
